"Parasite","Host","DetectionMethod","DetectionQuality","ReferenceText","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","PublicationYear","ParasiteType","Database","Host_AsReported","Parasite_AsReported","Parasite_og","PathogenName_Harmonised","PathogenName_Harm2","PathogenType"
"foot-and-mouth disease","antilope cervicapra","Isolation",2,"Kar et al. 1983; Hegde et al. 2011 in Weaver & Karesh 2013","CETARTIODACTYLA","BOVIDAE","Antilope","cervicapra","Picornavirales","Picornaviridae",NA,"Aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1983,"virus","HP3","","","foot-and-mouth disease virus","foot-and-mouth disease","foot-and-mouth disease virus","virus"
"rabies","antrozous pallidus","PCR",2,"Blanton et al. 2008","CHIROPTERA","VESPERTILIONIDAE","Antrozous","pallidus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2008,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"measles","aotus azarae","Antibodies",0,"O'Brien et al. 1981","PRIMATES","AOTIDAE","Aotus","azarae","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15894,1,1,1,1981,"virus","HP3","","","measles virus","measles","measles virus","virus"
"encephalomyocarditis","aotus trivirgatus","Isolation",2,"Roca-Garcia 1957","PRIMATES","AOTIDAE","Aotus","trivirgatus","Picornavirales","Picornaviridae",NA,"Cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,7835,0,1,1,1957,"virus","HP3","","","encephalomyocarditis virus","encephalomyocarditis","encephalomyocarditis virus","virus"
"gb virus a","aotus trivirgatus","PCR",2,"Bukh & Apgar 1997","PRIMATES","AOTIDAE","Aotus","trivirgatus","Unassigned","Flaviviridae",NA,"Unassigned","SS","RNA","enveloped",FALSE,TRUE,9550,0,0,0,1997,"virus","HP3","","","gb virus a","gb virus a","gb virus a","virus"
"gb virus b","aotus trivirgatus","Isolation",2,"Bukh et al. 2001a","PRIMATES","AOTIDAE","Aotus","trivirgatus","Unassigned","Flaviviridae",NA,"Hepacivirus","SS","RNA","enveloped",FALSE,TRUE,9399,0,0,0,2001,"virus","HP3","","","gb virus b","gb virus b","gb virus b","virus"
"hepatitis a","aotus trivirgatus","Antibodies",0,"Lemon et al. 1982","PRIMATES","AOTIDAE","Aotus","trivirgatus","Picornavirales","Picornaviridae",NA,"Hepatovirus","SS","RNA","non-enveloped",FALSE,TRUE,7478,0,1,1,1982,"virus","HP3","","","hepatitis a virus","hepatitis a","hepatitis a virus","virus"
"hepatitis a","aotus trivirgatus","Antibodies",0,"Lemon et al. 1982","PRIMATES","AOTIDAE","Aotus","trivirgatus","Picornavirales","Picornaviridae",NA,"Hepatovirus","SS","RNA","non-enveloped",FALSE,TRUE,7478,0,1,1,1982,"virus","HP3","","","hepatitis a virus","hepatitis a","hepatitis a virus","virus"
"measles","aotus trivirgatus","Isolation",2,"Fowler & Miller. 2003","PRIMATES","AOTIDAE","Aotus","trivirgatus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15894,1,1,1,2003,"virus","HP3","","","measles virus","measles","measles virus","virus"
"torque teno","aotus trivirgatus","PCR",2,"Catroxo et al. 2008","PRIMATES","AOTIDAE","Aotus","trivirgatus","Unassigned","Anelloviridae",NA,"Anellovirus","SS","DNA","non-enveloped",FALSE,NA,3524,0,1,1,2008,"virus","HP3","","","torque teno virus","torque teno","torque teno virus","virus"
"vesicular stomatitis indiana","aotus trivirgatus","plaque reduction neutralization",1,"Tesh et al. 1969","PRIMATES","AOTIDAE","Aotus","trivirgatus","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1969,"virus","HP3","","","vesicular stomatitis indiana virus","vesicular stomatitis indiana","vesicular stomatitis indiana virus","virus"
"yellow fever","aotus trivirgatus","Antibodies",0,"Seymour et al. 1983","PRIMATES","AOTIDAE","Aotus","trivirgatus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1983,"virus","HP3","","","yellow fever virus","yellow fever","yellow fever virus","virus"
"california encephalitis","apodemus agrarius","Antibodies",0,"Mitchell et al. 1993","RODENTIA","MURIDAE","Apodemus","agrarius","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,1,1993,"virus","HP3","","","california encephalitis virus","california encephalitis","california encephalitis virus","virus"
"dobrava-belgrade","apodemus agrarius","Isolation",2,"Plyusnin 2002","RODENTIA","MURIDAE","Apodemus","agrarius","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,11851,0,1,1,2002,"virus","HP3","","","dobrava-belgrade virus","dobrava-belgrade","dobrava-belgrade virus","virus"
"hantaan","apodemus agrarius","Isolation",2,"Acha & Szyfres 2003; Lee et al. 1978","RODENTIA","MURIDAE","Apodemus","agrarius","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,11845,0,1,0,1978,"virus","HP3","","","hantaan virus","hantaan","hantaan virus","virus"
"lymphocytic choriomeningitis","apodemus agrarius","Antibodies",0,"Tagliapietra et al. 2009","RODENTIA","MURIDAE","Apodemus","agrarius","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"virus","HP3","","","lymphocytic choriomeningitis virus","lymphocytic choriomeningitis","lymphocytic choriomeningitis virus","virus"
"tick-borne encephalitis","apodemus agrarius","Isolation",2,"Golovljova et al. 2004","RODENTIA","MURIDAE","Apodemus","agrarius","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,2004,"virus","HP3","","","tick-borne encephalitis virus","tick-borne encephalitis","tick-borne encephalitis virus","virus"
"apoi","apodemus argenteus","Isolation",2,"Karabatsos 1995","RODENTIA","MURIDAE","Apodemus","argenteus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10116,0,0,0,1995,"virus","HP3","","","apoi virus","apoi","apoi virus","virus"
"cowpox","apodemus flavicollis","Antibodies",0,"Acha & Szyfres 2003; Essbauer & Meyer 2007; Essbauer et al. 2009","RODENTIA","MURIDAE","Apodemus","flavicollis","Unassigned","Poxviridae","Chordopoxvirinae","Orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,223025.5,0,1,1,2003,"virus","HP3","","","cowpox virus","cowpox","cowpox virus","virus"
"dobrava-belgrade","apodemus flavicollis","Isolation",2,"Avsic-Zupanc et al. 1992","RODENTIA","MURIDAE","Apodemus","flavicollis","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,11851,0,1,1,1992,"virus","HP3","","","dobrava-belgrade virus","dobrava-belgrade","dobrava-belgrade virus","virus"
"ljungan","apodemus flavicollis","PCR",2,"Hauffe et al. 2010","RODENTIA","MURIDAE","Apodemus","flavicollis","Picornavirales","Picornaviridae",NA,"Parechovirus","SS","RNA","non-enveloped",FALSE,TRUE,7613.5,0,1,1,2010,"virus","HP3","","","ljungan virus","ljungan","ljungan virus","virus"
"lymphocytic choriomeningitis","apodemus flavicollis","Antibodies",0,"Tagliapietra et al. 2009","RODENTIA","MURIDAE","Apodemus","flavicollis","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"virus","HP3","","","lymphocytic choriomeningitis virus","lymphocytic choriomeningitis","lymphocytic choriomeningitis virus","virus"
"murid herpesvirus 1","apodemus flavicollis","Isolation",2,"Mistrikova & Blaskovis 1985","RODENTIA","MURIDAE","Apodemus","flavicollis","Herpesvirales","Herpesviridae","Betaherpesvirinae","Muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,235000,0,0,0,1985,"virus","HP3","","","murid herpesvirus 1","murid herpesvirus 1","murid herpesvirus 1","virus"
"murid herpesvirus 2","apodemus flavicollis","PCR",2,"Ehlers et al. 2007","RODENTIA","MURIDAE","Apodemus","flavicollis","Herpesvirales","Herpesviridae","Betaherpesvirinae","Muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,230138,0,0,0,2007,"virus","HP3","","","murid herpesvirus 2","murid herpesvirus 2","murid herpesvirus 2","virus"
"murid herpesvirus 4","apodemus flavicollis","Isolation",2,"Blaskovic et al. 1980; Ehlers et al. 2007","RODENTIA","MURIDAE","Apodemus","flavicollis","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,1980,"virus","HP3","","","murid herpesvirus 4","murid herpesvirus 4","murid herpesvirus 4","virus"
"thiafora","apodemus flavicollis","Antibodies",0,"Woessner et al. 2000","RODENTIA","MURIDAE","Apodemus","flavicollis","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2000,"virus","HP3","","","thiafora virus","thiafora","thiafora nairovirus","virus"
"tick-borne encephalitis","apodemus flavicollis","Isolation",2,"Acha & Szyfres 2003; Kozch et al. 1995","RODENTIA","MURIDAE","Apodemus","flavicollis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,1995,"virus","HP3","","","tick-borne encephalitis virus","tick-borne encephalitis","tick-borne encephalitis virus","virus"
"lymphocytic choriomeningitis","apodemus mystacinus","Antibodies",0,"Tagliapietra et al. 2009","RODENTIA","MURIDAE","Apodemus","mystacinus","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"virus","HP3","","","lymphocytic choriomeningitis virus","lymphocytic choriomeningitis","lymphocytic choriomeningitis virus","virus"
"hantaan","apodemus peninsulae","Isolation",2,"Wang et al. 2000","RODENTIA","MURIDAE","Apodemus","peninsulae","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,11845,0,1,0,2000,"virus","HP3","","","hantaan virus","hantaan","hantaan virus","virus"
"apoi","apodemus speciosus","Isolation",2,"Karabatsos 1995","RODENTIA","MURIDAE","Apodemus","speciosus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10116,0,0,0,1995,"virus","HP3","","","apoi virus","apoi","apoi virus","virus"
"cowpox","apodemus sylvaticus","PCR",2,"Acha & Szyfres 2003; Chantrey et al. 1999","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Poxviridae","Chordopoxvirinae","Orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,223025.5,0,1,1,1999,"virus","HP3","","","cowpox virus","cowpox","cowpox virus","virus"
"ectromelia","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Poxviridae","Chordopoxvirinae","Orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,209771,0,0,0,1980,"virus","HP3","","","ectromelia virus","ectromelia","ectromelia virus","virus"
"encephalomyocarditis","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","RODENTIA","MURIDAE","Apodemus","sylvaticus","Picornavirales","Picornaviridae",NA,"Cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,7835,0,1,1,1980,"virus","HP3","","","encephalomyocarditis virus","encephalomyocarditis","encephalomyocarditis virus","virus"
"eyach","apodemus sylvaticus","Isolation",2,"Chastel et al. 1985","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Reoviridae","Spinareovirinae","Coltivirus","DS","RNA","non-enveloped",TRUE,TRUE,29210,0,0,0,1985,"virus","HP3","","","eyach virus","eyach","eyach virus","virus"
"ljungan","apodemus sylvaticus","PCR",2,"Salisbury et al. 2014","RODENTIA","MURIDAE","Apodemus","sylvaticus","Picornavirales","Picornaviridae",NA,"Parechovirus","SS","RNA","non-enveloped",FALSE,TRUE,7613.5,0,1,1,2014,"virus","HP3","","","ljungan virus","ljungan","ljungan virus","virus"
"louping ill","apodemus sylvaticus","Antibodies",0,"Gilbert et al. 2000","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10871,0,1,1,2000,"virus","HP3","","","louping ill virus","louping ill","louping ill virus","virus"
"lymphocytic choriomeningitis","apodemus sylvaticus","PCR",2,"Ledesma et al. 2009","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10056,0,1,1,2009,"virus","HP3","","","lymphocytic choriomeningitis virus","lymphocytic choriomeningitis","lymphocytic choriomeningitis virus","virus"
"murid herpesvirus 1","apodemus sylvaticus","PCR",2,"Mistrikova & Blaskovis 1985","RODENTIA","MURIDAE","Apodemus","sylvaticus","Herpesvirales","Herpesviridae","Betaherpesvirinae","Muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,235000,0,0,0,1985,"virus","HP3","","","murid herpesvirus 1","murid herpesvirus 1","murid herpesvirus 1","virus"
"murid herpesvirus 2","apodemus sylvaticus","PCR",2,"Ehlers et al. 2007","RODENTIA","MURIDAE","Apodemus","sylvaticus","Herpesvirales","Herpesviridae","Betaherpesvirinae","Muromegalovirus","DS","DNA","enveloped",FALSE,FALSE,230138,0,0,0,2007,"virus","HP3","","","murid herpesvirus 2","murid herpesvirus 2","murid herpesvirus 2","virus"
"murid herpesvirus 4","apodemus sylvaticus","PCR",2,"Blasdell et al. 2003","RODENTIA","MURIDAE","Apodemus","sylvaticus","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135000,0,0,0,2003,"virus","HP3","","","murid herpesvirus 4","murid herpesvirus 4","murid herpesvirus 4","virus"
"murine norovirus 1","apodemus sylvaticus","PCR",2,"Smith et al. 2012","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Caliciviridae",NA,"Norovirus","SS","RNA","non-enveloped",FALSE,TRUE,7382,0,0,0,2012,"virus","HP3","","","murine norovirus 1","murine norovirus 1","murine norovirus 1","virus"
"murine pneumonia","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","RODENTIA","MURIDAE","Apodemus","sylvaticus","Mononegavirales","Paramyxoviridae","Pneumovirinae","Pneumovirus","SS","RNA","enveloped",FALSE,TRUE,14885,0,1,0,1980,"virus","HP3","","","murine pneumonia virus","murine pneumonia","murine pneumonia virus","virus"
"rabbit hemorrhagic disease","apodemus sylvaticus","PCR",2,"Merchan et al. 2011","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Caliciviridae",NA,"Lagovirus","SS","RNA","non-enveloped",FALSE,TRUE,7437,0,0,0,2011,"virus","HP3","","","rabbit hemorrhagic disease virus","rabbit hemorrhagic disease","rabbit hemorrhagic disease virus","virus"
"sendai","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","RODENTIA","MURIDAE","Apodemus","sylvaticus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Respirovirus","SS","RNA","enveloped",FALSE,TRUE,15384,0,0,0,1980,"virus","HP3","","","sendai virus","sendai","sendai virus","virus"
"theilovirus","apodemus sylvaticus","Antibodies",0,"Kaplan et al. 1980","RODENTIA","MURIDAE","Apodemus","sylvaticus","Picornavirales","Picornaviridae",NA,"Cardiovirus","SS","RNA","non-enveloped",FALSE,TRUE,8101,0,0,0,1980,"virus","HP3","","","theilovirus","theilovirus","theilovirus","virus"
"thiafora","apodemus sylvaticus","Antibodies",0,"Woessner et al. 2000","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,0,2000,"virus","HP3","","","thiafora virus","thiafora","thiafora nairovirus","virus"
"tick-borne encephalitis","apodemus sylvaticus","Isolation",2,"Kozuch et al. 1995","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11141,0,1,0,1995,"virus","HP3","","","tick-borne encephalitis virus","tick-borne encephalitis","tick-borne encephalitis virus","virus"
"uukuniemi","apodemus sylvaticus","Antibodies",0,"Traavik et al. 1977","RODENTIA","MURIDAE","Apodemus","sylvaticus","Unassigned","Bunyaviridae",NA,"Phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11372,0,1,0,1977,"virus","HP3","","","uukuniemi virus","uukuniemi","uukuniemi virus","virus"
"tula","apodemus uralensis","antigen",0,"Heroldova et al. 2010","RODENTIA","MURIDAE","Apodemus","uralensis","Unassigned","Bunyaviridae",NA,"Hantavirus","SS","RNA","enveloped",TRUE,TRUE,12066,0,1,1,2010,"virus","HP3","","","tula virus","tula","tula virus","virus"
"influenza a","arctocephalus australis","Antibodies",0,"Blanc et al. 2009","CARNIVORA","OTARIIDAE","Arctocephalus","australis","Unassigned","Orthomyxoviridae",NA,"Influenzavirus A","SS","RNA","enveloped",TRUE,TRUE,13444.6,0,1,1,2009,"virus","HP3","","","influenza a virus","influenza a","influenza a virus","virus"
"dengue","artibeus cinereus","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","cinereus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,1978,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"ilheus","artibeus cinereus","Antibodies",0,"Price et al. 1978","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","cinereus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"virus","HP3","","","ilheus virus","ilheus","ilheus virus","virus"
"rabies","artibeus cinereus","Antibodies",0,"Price & Everard 1977","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","cinereus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1977,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"yellow fever","artibeus cinereus","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","cinereus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10862,0,1,1,1978,"virus","HP3","","","yellow fever virus","yellow fever","yellow fever virus","virus"
"rabies","artibeus fimbriatus","Isolation",2,"Cunha et al. 2005","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","fimbriatus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2005,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"dengue","artibeus jamaicensis","PCR",2,"Aguilar-Setien et al. 2008","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10692,0,1,1,2008,"virus","HP3","","","dengue virus","dengue","dengue virus","virus"
"eastern equine encephalitis","artibeus jamaicensis","Antibodies",0,"Ubico & McClean 1995","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11675,0,1,0,1995,"virus","HP3","","","eastern equine encephalitis virus","eastern equine encephalitis","eastern equine encephalitis virus","virus"
"ilheus","artibeus jamaicensis","Antibodies",0,"Price et al. 1978","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10755,0,1,0,1978,"virus","HP3","","","ilheus virus","ilheus","ilheus virus","virus"
"marituba","artibeus jamaicensis","Isolation",2,"Calisher et al. 2006","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12029.5,0,1,1,2006,"virus","HP3","","","marituba virus","marituba","marituba virus","virus"
"rabies","artibeus jamaicensis","Isolation",2,"Price & Everard 1977","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1977,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"rio bravo","artibeus jamaicensis","Antibodies",0,"Ubico & McClean 1995","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10140,0,1,0,1995,"virus","HP3","","","rio bravo virus","rio bravo","rio bravo virus","virus"
"st. louis encephalitis","artibeus jamaicensis","Antibodies",0,"Ubico & McClean 1995","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1995,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"tacaribe","artibeus jamaicensis","Isolation",2,"Abraham et al. 2009","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Arenaviridae",NA,"Arenavirus","SS","RNA","enveloped",TRUE,TRUE,10534,0,1,0,2009,"virus","HP3","","","tacaribe virus","tacaribe","tacaribe virus","virus"
"tamana bat","artibeus jamaicensis","Antibodies",0,"Price 1978","CHIROPTERA","PHYLLOSTOMIDAE","Artibeus","jamaicensis","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10428,0,0,0,1978,"virus","HP3","","","tamana bat virus","tamana bat","tamana bat virus","virus"
