Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
bunodera luciopercae,Helminth,gymnocephalus cernuus,Fish,4,0,270741351;270741352;298398724;298398732,
bunodera luciopercae,Helminth,perca fluviatilis,Fish,6,0,270741355;270741356;298398725;298398733;298398734;298399397,
bunodera luciopercae,Helminth,pisidium amnicum,Mollusca,5,0,270741348;270741349;270741350;298398722;298399398,
bunodera luciopercae,Helminth,sphaerium rivicola,Mollusca,5,0,270741353;270741354;298398721;298398723;298398726,
bunodera mediovitellata,Helminth,gasterosteus aculeatus,Fish,1,0,126428474,
bunostomum phlebotomum,Helminth,bos grunniens,Mammal,1,0,523500850,
bunostomum phlebotomum,Helminth,bos indicus,Domestic,0,5,,14509451;2316176;3754670;523816;20999315
bunostomum phlebotomum,Helminth,bos taurus,Domestic,0,65,,25280515;24625354;23273929;23273928;23273777;22638921;21344210;21094506;19210793;14509451;10799842;10376888;9645850;9561708;9493308;9477496;9099383;8916402;8893482;8644452;7676603;7998700;8236735;8484220;8442334;1413460;1524310;1532875;2238429;2353426;2316176;2598802;2802334;3223663;3361567;3946069;3839020;6377988;6375485;6689429;6226223;7175907;7175905;6213184;7265100;551181;453633;754678;97836;664015;145816;145192;566412;144191;999077;131197;1219107;123711;4272963;14804221;18153103;20270657;20276059;20276058;20999315
bunostomum trigonocephalum,Helminth,capra hircus,Domestic,0,8,,24625354;19627625;17969715;15604491;2247944;2529697;462559;572958
bunostomum trigonocephalum,Helminth,capreolus capreolus,Domestic,3,0,11494172;11494192;11494209,
bunostomum trigonocephalum,Helminth,homo sapiens,Human,1,0,18077721,
bunostomum trigonocephalum,Helminth,ovis aries,Domestic,17,2,41350536;402234544;402234546;402234548;402234550;402234552;402234554;402234556;402234558;402234560;402234562;402234564;402234566;402234568;402234570;402234572;402234574,3157741;3745877
bunyamwera virus,Virus,anopheles barbirostris,Arthropod,2,0,239579243;239579265,
bunyamwera virus,Virus,anopheles gambiae,Arthropod,1,0,146760256,
bunyamwera virus,Virus,anopheles maculipennis,Arthropod,8,0,284798763;284798765;284798767;284798769;284798770;323650615;323650618;323650620,
bunyamwera virus,Virus,anopheles quadrimaculatus,Arthropod,2,0,7230625;13249094,
bunyamwera virus,Virus,anopheles subpictus,Arthropod,3,0,239579237;239579245;239579256,
bunyamwera virus,Virus,bos taurus,Domestic,0,5,,24188175;19678560;16820982;12363055;3101276
bunyamwera virus,Virus,culex gelidus,Arthropod,1,0,88769987,
bunyamwera virus,Virus,culex pseudovishnui,Arthropod,3,0,239579241;239579251;239579262,
bunyamwera virus,Virus,culex tritaeniorhynchus,Arthropod,3,0,239579239;239579249;239579259,
bunyamwera virus,Virus,culiseta inornata,Arthropod,3,0,7230623;13249096;13249100,
bunyamwera virus,Virus,equus caballus,Domestic,0,6,,19501478;1677543;2107770;3143273;2880522;2869708
bunyamwera virus,Virus,homo sapiens,Human,4,10,88769985;146760254;189544556;193090029,20370434;6274526;8727900;9701947;15367646;16704854;20862319;14894758;13595198;6230800
bunyamwera virus,Virus,mansonia uniformis,Arthropod,1,0,146760252,
bunyamwera virus,Virus,ochlerotatus taeniorhynchus,Arthropod,18,0,260424512;295922039;295922042;295922045;295922048;295922051;295922054;295922057;295922060;295922063;295922066;295922069;295922072;295922075;295922078;295922081;295922084;295922087,
bunyamwera virus,Virus,sus scrofa,Domestic,2,0,239579235;239579247,
burkholderia ambifaria,Bacteria,nypa fruticans,Higher Plants,4,0,300681900;300681901;300681902;300681903,
burkholderia ambifaria,Bacteria,syzygium cumini,Higher Plants,1,0,293627794,
burkholderia andropogonis,Bacteria,sphagnum fallax,Higher Plants,2,0,112362918;112362929,
burkholderia anthina,Bacteria,trachemys scripta,Reptile,1,0,28460069,
burkholderia arboris,Bacteria,glycine max,Higher Plants,1,0,333952442,
burkholderia arboris,Bacteria,syzygium cumini,Higher Plants,1,0,293627779,
burkholderia caledonica,Bacteria,cytisus striatus,Higher Plants,3,0,303227067;303227094;303227095,
burkholderia caribensis,Bacteria,indigofera suffruticosa,Higher Plants,1,0,270486339,
burkholderia cenocepacia,Bacteria,arachis hypogaea,Higher Plants,3,0,289623053;289812864;289812911,
burkholderia cenocepacia,Bacteria,crotalaria pallida,Higher Plants,1,0,219819695,
burkholderia cenocepacia,Bacteria,homo sapiens,Human,21,12,209165425;224995019;258562158;258562164;258562166;258562170;258562172;258562174;258562176;258562186;258562190;258571971;258571981;258571983;258571989;258571993;258571995;258571997;258572013;348167245;348167246,12818585;14638436;15184022;16922864;17595284;17784948;18049456;18214797;18624797;18931103;19370465;21182082
burkholderia cenocepacia,Bacteria,oryza sativa,Higher Plants,1,0,305433363,
burkholderia cenocepacia,Bacteria,oxystelma esculentum,Higher Plants,1,0,219819694,
burkholderia cenocepacia,Bacteria,prunus dulcis,Higher Plants,9,0,324310157;324310158;324310159;324310160;324310161;324310162;324310163;324310164;324310165,
burkholderia cepacia,Bacteria,acacia decurrens,Higher Plants,1,0,59002885,
burkholderia cepacia,Bacteria,acacia seyal,Higher Plants,1,0,125634586,
burkholderia cepacia,Bacteria,allium cepa,Higher Plants,2,0,258562188;258572015,
burkholderia cepacia,Bacteria,catharanthus roseus,Higher Plants,1,0,371444195,
burkholderia cepacia,Bacteria,dalbergia odorifera,Higher Plants,2,0,306411104;306411105,
burkholderia cepacia,Bacteria,homo sapiens,Human,18,57,9957035;37951174;209967934;209967936;209967938;209967940;285176684;285176686;285176689;285176693;285176698;285176699;285176701;285176702;285176704;285176708;285176711;285176713,2645209;3527987;6408002;9621192;10598883;10992475;11321581;11891518;11923333;12052570;12234345;12818585;12892129;12919407;14522463;14555458;15135534;15184022;16689877;16922864;17595284;17784948;18032622;18049456;18214797;18624797;18684854;18931103;19370465;19700546;19411195;19400793;20390415;18524958;17908812;17601817;16999122;16985448;16785290;15681508;15643431;14669998;12161410;12071681;11702237;11701865;11539850;10970351;10882437;10786801;10431168;9009321;8005662;7687582;7583922;19914879;20337933
burkholderia cepacia,Bacteria,hymenocallis littoralis,Higher Plants,1,0,319432146,
burkholderia cepacia,Bacteria,lemna minor,Higher Plants,1,0,115493986,
burkholderia cepacia,Bacteria,mimosa flocculosa,Higher Plants,2,0,205318866;205318867,
burkholderia cepacia,Bacteria,musa acuminata,Higher Plants,2,0,239809139;239809143,
burkholderia cepacia,Bacteria,oryza sativa,Higher Plants,2,0,241912496;305433364,
burkholderia cepacia,Bacteria,prunus armeniaca,Higher Plants,2,0,255686595;255686596,
burkholderia cepacia,Bacteria,sphagnum fallax,Higher Plants,4,0,112362919;112362920;112362921;112362923,
burkholderia cepacia,Bacteria,sphagnum magellanicum,Higher Plants,2,0,112362934;112362935,
burkholderia cepacia,Bacteria,suillus variegatus,Fungi,1,0,77403419,
burkholderia cepacia,Bacteria,syzygium cumini,Higher Plants,1,0,293627787,
burkholderia cepacia,Bacteria,triticum aestivum,Higher Plants,1,0,190576788,
burkholderia cepacia,Bacteria,zea mays,Higher Plants,2,0,253317624;304366085,
burkholderia contaminans,Bacteria,phaseolus vulgaris,Higher Plants,2,0,272894039;272894041,
burkholderia dolosa,Bacteria,homo sapiens,Human,2,2,258562178;258572001,17595284;22120052
burkholderia endofungorum,Bacteria,homo sapiens,Human,8,0,306811659;307697909;307697925;307697941;307697957;307697973;307697996;307698013,
burkholderia endofungorum,Bacteria,rhizopus microsporus,Fungi,2,1,124483318;343202298,17978222
burkholderia fungorum,Bacteria,capreolus capreolus,Domestic,2,0,28460068;30524997,
burkholderia fungorum,Bacteria,homo sapiens,Human,1,0,332692072,
burkholderia fungorum,Bacteria,macroptilium atropurpureum,Higher Plants,17,0,270486333;270486334;270486335;270486336;270486337;270486338;270486350;270486352;270486354;270486356;270486358;270486360;270486362;270486364;270486366;270486368;270486370,
burkholderia fungorum,Bacteria,phanerochaete chrysosporium,Fungi,2,0,29119698;30524999,
burkholderia fungorum,Bacteria,prunus dulcis,Higher Plants,1,0,324310166,
burkholderia fungorum,Bacteria,suillus variegatus,Fungi,1,0,77403437,
burkholderia fungorum,Bacteria,sus scrofa,Domestic,2,0,28460067;30524995,
burkholderia fungorum,Bacteria,vitis vinifera,Higher Plants,1,0,305671570,
burkholderia gladioli,Bacteria,ananas comosus,Higher Plants,2,0,339779743;339779745,
burkholderia gladioli,Bacteria,crocus sativus,Higher Plants,1,0,289721181,
burkholderia gladioli,Bacteria,dracaena reflexa,Higher Plants,1,0,306413239,
burkholderia gladioli,Bacteria,homo sapiens,Human,1,1,300429863,7583922
burkholderia gladioli,Bacteria,oryza sativa,Higher Plants,2,0,328672433;328672434,
burkholderia gladioli,Bacteria,zea mays,Higher Plants,1,0,171986633,
burkholderia glathei,Bacteria,sphagnum fallax,Higher Plants,3,0,112362909;112362910;112362911,
burkholderia glathei,Bacteria,sphagnum magellanicum,Higher Plants,1,0,112362904,
burkholderia graminis,Bacteria,cytisus striatus,Higher Plants,2,0,303227093;303227096,
burkholderia heleia,Bacteria,eleocharis dulcis,Higher Plants,3,0,226434478;226434479;226434480,
burkholderia kururiensis,Bacteria,nypa fruticans,Higher Plants,3,0,300681890;300681904;300681905,
burkholderia lata,Bacteria,phyllostachys edulis,Higher Plants,1,0,225196385,
burkholderia mallei,Bacteria,equus caballus,Domestic,915,6,45751704;67105480;67105481;67105482;67105483;67105484;67105485;67105486;67105487;67105488;67105489;67105490;67105491;67105492;67105493;67105494;67105495;67105496;67105497;67105498;67105499;67105500;67105501;67105502;67105503;67105504;67105505;67105506;67105507;67105508;67105509;67105510;67105511;67105512;67105513;67105514;67105515;67105516;67105517;67105518;67105519;67105520;67105521;67105522;67105523;67105524;67105525;67105526;67105527;67105528;67105529;67105530;67105531;67105532;67105533;67105534;67105535;67105536;67105537;67105538;67105539;67105540;67105541;67105542;67105543;67105544;67105545;67105546;67105547;67105548;67105549;67105550;67105551;67105552;67105553;67105554;67105555;67105556;67105557;67105558;67105559;67105560;67105561;67105562;67105563;67105564;67105565;67105566;67105567;67105568;67105569;67105570;67105571;67105572;67105573;67105574;67105575;67105576;67105577;67105578,16115091;17555434;19723336;16622830;10690775;2247938
burkholderia mallei,Bacteria,homo sapiens,Human,2,17,45751700;45751702,1537895;7583922;16621455;18223084;19587798;21182082;21611119;21762599;21811486;21391724;20920184;20724509;17555434;17163980;15954468;7029435;1385539
burkholderia mimosarum,Bacteria,mimosa pigra,Higher Plants,11,0,58826616;58826631;58826648;58826665;58826683;58826700;58826816;58826840;179745181;182930884;343198643,
burkholderia mimosarum,Bacteria,mimosa pudica,Higher Plants,2,0,358030250;395146397,
burkholderia multivorans,Bacteria,homo sapiens,Human,203,7,37951172;221164254;221164257;221164259;221164262;221164265;221164266;221164269;221164271;221164272;221164275;221164282;221164310;221164353;221164386;221164443;221164513;221164602;221164709;221164850;221164961;221165102;221165252;221165414;221165603;221165781;221166001;221166303;221166613;221166966;221167374;221167852;221168360;221169128;221169955;221170860;221170861;221170865;221170868;221170871;221170874;221170877;221170879;221170880;221170903;221170914;221170951;221170994;221171037;221171085;221171164;221171246;221171337;221171422;221171516;221171602;221171713;221171827;221171948;221172082;221172230;221172394;221172579;221172751;221172964;221173237;221173545;221173891;221174248;221174717;221175201;221175783;221176510;221177551;221177552;221177555;221177557;221177559;221177561;221177564;221177566;221177570;221177571;221177593;221177629;221177671;221177733;221177808;221177893;221178028;221178182;221178365;221178578;221178817;221179160;221179539;221179929;221180437;221180975;221181603,10970351;15681508;17595284;18032622;18624797;18684854;20337933
burkholderia multivorans,Bacteria,sphagnum magellanicum,Higher Plants,1,0,88193399,
burkholderia nodosa,Bacteria,mimosa bimucronata,Higher Plants,1,0,109942349,
burkholderia nodosa,Bacteria,mimosa scabrella,Higher Plants,2,0,109942350;109942351,
burkholderia phage bcepc6b,Virus,burkholderia cepacia,Bacteria,1,0,48697190,
burkholderia phenazinium,Bacteria,sphagnum fallax,Higher Plants,3,0,85677213;88193401;112362915,
burkholderia phenazinium,Bacteria,sphagnum magellanicum,Higher Plants,3,0,85677229;109659418;109659423,
burkholderia phenazinium,Bacteria,sphagnum palustre,Higher Plants,1,0,109390676,
burkholderia phymatum,Bacteria,machaerium lunatum,Higher Plants,4,0,14547082;38256857;38256913;228716754,
burkholderia phymatum,Bacteria,mimosa pudica,Higher Plants,5,0,114848866;117556894;117556896;358030248;395146393,
burkholderia phymatum,Bacteria,phaseolus vulgaris,Higher Plants,12,0,247935758;260619564;292671057;293596115;293596119;293596121;293651026;293651027;293651028;293651029;293651031;293651033,
burkholderia phytofirmans,Bacteria,bursaphelenchus xylophilus,Helminth,1,0,329131198,
burkholderia phytofirmans,Bacteria,sphagnum magellanicum,Higher Plants,2,0,85677220;85677230,
burkholderia pseudomallei,Bacteria,bos taurus,Domestic,0,8,,24961697;23404819;22209752;12757220;11693877;10674644;9266661;1191141
burkholderia pseudomallei,Bacteria,capra hircus,Domestic,0,14,,24571408;24260378;22916225;20849887;10674644;9236739;7545176;8544164;7521644;3190597;3355451;6710827;7186613;6007974
burkholderia pseudomallei,Bacteria,equus caballus,Domestic,0,9,,21573027;19010402;17564599;17362501;16517866;16449212;11080506;7236143;1243750
burkholderia pseudomallei,Bacteria,felis catus,Domestic,0,8,,23658015;19428280;18178143;18052936;15856902;15316770;10928372;7545176
burkholderia pseudomallei,Bacteria,homo sapiens,Human,372,86,6478169;20148750;45751708;45751738;46406269;46406271;46406273;46406275;156071098;161361671;213990431;217391251;217391252;217391277;217391311;217391365;217391412;217391551;217391700;217391905;217392115;217392341;217392583;217392882;217393181;217393677;217394231;217395000;217395742;217396670;217397634;217398670;217418330;217419366;217420330;217421258;217422000;217422769;217423323;217423819;217424118;217424417;217424659;217424885;217425095;217425300;217425449;217425588;217425635;217425689;217425723;217425748;217425749;217425750;225927576;225927586;225927683;225927772;225927859;225927864;225927867;225927932;225928071;225928227;225928228;225928305;225928308;225928329;225928364;225928464;225928559;225928603;225928751;225928795;225928927;225929120;225929267;225929291;225929399;225929471;225929533;225929597;225929634;225929833;225929990;225929991;225930144;225930412;225930441;225930885;225931045;225931162;225931316;225931507;225931657;225931688;225931715;225931818;225932022;225932410,1279367;1385539;2304065;7029435;7163779;7171038;7545176;7583922;8600773;8840761;8923967;9284132;9393784;10627169;10786801;11321581;11361238;11796634;15043863;15228489;15496380;15681148;15691141;15954468;16028178;16181507;16377887;16390980;16397726;16621455;16631790;16825379;16893462;16941374;17110975;18223084;18401409;19548631;19352426;19200247;19652701;19654871;20194589;19154649;20523903;20546831;18297685;20724509;17564119;17350202;20920184;21182082;21203527;21296719;21391724;17189432;21408228;21537012;17062053;17041850;21811486;21762599;16987131;16935773;16865211;16771621;15694855;15525357;15520292;15241582;12466403;11877708;11689986;11386421;9661950;9494666;9072482;19549172;19578632;20335533;20688984;20799096;20799932;21399594;21543099;21659326
burkholderia pseudomallei,Bacteria,ovis aries,Domestic,0,14,,19121685;16517866;10674644;10674643;10674639;10523590;9728410;9266661;7521644;1284090;1882505;2229359;507042;14191702
burkholderia pseudomallei,Bacteria,sus scrofa,Domestic,0,28,,18778292;17523479;16807011;16334220;15330982;15188557;11904924;10674644;10422574;9728410;8525729;8544164;7894914;7521644;1878769;2203818;2377083;2344335;3753342;7171038;7171037;6763458;7405455;687299;665019;833442;49930;13729013
burkholderia rhizoxinica,Bacteria,homo sapiens,Human,56,0,306811652;306811653;306811654;306811655;306811656;306811657;306811658;307697895;307697897;307697899;307697901;307697903;307697905;307697907;307697911;307697913;307697915;307697917;307697919;307697921;307697923;307697927;307697929;307697931;307697933;307697935;307697937;307697939;307697943;307697945;307697947;307697949;307697951;307697953;307697955;307697959;307697961;307697963;307697965;307697967;307697969;307697971;307697975;307697978;307697981;307697984;307697987;307697990;307697993;307697999;307698001;307698003;307698005;307698007;307698009;307698011,
burkholderia silvatlantica,Bacteria,saccharum officinarum,Higher Plants,2,0,62199780;62199782,
burkholderia silvatlantica,Bacteria,zea mays,Higher Plants,2,0,62199779;62199781,
burkholderia sordidicola,Bacteria,sphagnum magellanicum,Higher Plants,2,0,112362903;112362937,
burkholderia stabilis,Bacteria,homo sapiens,Human,2,0,258562162;258571977,
burkholderia stabilis,Bacteria,sarcodon aspratus,Fungi,2,0,50980298;53627385,
